[2023/07/24 05:57:51] - Namespace(cGAN=False, arch='ResNet18', target_arch='ResNet18', target_defense='AT_v2', target_dir='./checkpoints/', data='CIFAR100', test_batch_size=500, data_path='~/datasets/', batch_size=512, epochs=300, lr=0.1, momentum=0.9, weight_decay=0.0001, steps_S=500, steps_G=15, lr_G=0.005, lr_z=0.015, gen_dim_z=256, gen_distribution='normal', lr_hee=0.03, steps_hee=10, query_mode='hee', epsilon=0.03137254901960784, num_steps=10, step_size=0.00784313725490196, result_dir='results/GAN', save_freq=50, seed=1, lam=3.0, label_smooth_value=0.02)
[2023/07/24 21:25:25] - Epoch 133 Finish, Time Cost 413, nature_acc 0.4654, robust_acc 0.1609
[2023/07/24 21:32:18] - Epoch 134 Finish, Time Cost 413, nature_acc 0.4679, robust_acc 0.1635
[2023/07/24 21:39:12] - Epoch 135 Finish, Time Cost 414, nature_acc 0.4696, robust_acc 0.1638
[2023/07/24 21:46:06] - Epoch 136 Finish, Time Cost 414, nature_acc 0.4693, robust_acc 0.1649
[2023/07/24 21:53:00] - Epoch 137 Finish, Time Cost 413, nature_acc 0.4600, robust_acc 0.1636
[2023/07/24 21:59:54] - Epoch 138 Finish, Time Cost 413, nature_acc 0.4729, robust_acc 0.1605
[2023/07/24 22:06:47] - Epoch 139 Finish, Time Cost 413, nature_acc 0.4658, robust_acc 0.1675
[2023/07/24 22:13:41] - Epoch 140 Finish, Time Cost 413, nature_acc 0.4617, robust_acc 0.1627
[2023/07/24 22:20:34] - Epoch 141 Finish, Time Cost 413, nature_acc 0.4692, robust_acc 0.1636
[2023/07/24 22:27:27] - Epoch 142 Finish, Time Cost 413, nature_acc 0.4658, robust_acc 0.1647
[2023/07/24 22:34:22] - Epoch 143 Finish, Time Cost 414, nature_acc 0.4757, robust_acc 0.1666
[2023/07/24 22:41:18] - Epoch 144 Finish, Time Cost 415, nature_acc 0.4662, robust_acc 0.1629
[2023/07/24 22:48:13] - Epoch 145 Finish, Time Cost 414, nature_acc 0.4701, robust_acc 0.1659
[2023/07/24 22:55:07] - Epoch 146 Finish, Time Cost 414, nature_acc 0.4735, robust_acc 0.1666
[2023/07/24 23:02:01] - Epoch 147 Finish, Time Cost 414, nature_acc 0.4744, robust_acc 0.1655
